target,prediction,flag,roll_id,row_index
65.63,65.63,input,0,554
65.51,65.51,input,0,555
65.34,65.34,input,0,556
65.16,65.16,input,0,557
64.97,64.97,input,0,558
64.86,64.86,input,0,559
64.75,64.75,input,0,560
64.58,64.58,input,0,561
64.4,64.4,input,0,562
64.21,64.21,input,0,563
64.0,64.0,input,0,564
63.79,63.79,input,0,565
63.59,63.59,input,0,566
63.45,63.45,input,0,567
63.34,63.34,input,0,568
63.26,63.26,input,0,569
63.26,63.26,input,0,570
63.18,63.18,input,0,571
63.08,63.08,input,0,572
62.96,62.96,input,0,573
62.85,62.85,input,0,574
62.73,62.73,input,0,575
62.59,62.59,input,0,576
62.45,62.45,input,0,577
62.31,62.31,input,0,578
62.16,62.16,input,0,579
62.02,62.02,input,0,580
62.0,62.0,input,0,581
62.0,62.0,input,0,582
62.0,62.0,input,0,583
62.01,62.01,input,0,584
62.01,62.01,input,0,585
62.01,62.01,input,0,586
62.0,62.0,input,0,587
62.0,62.0,input,0,588
62.0,62.0,input,0,589
62.0,62.0,input,0,590
62.02,62.02,input,0,591
62.01,62.01,input,0,592
62.0,62.0,input,0,593
62.0,62.0,input,0,594
62.0,62.0,input,0,595
62.0,62.0,input,0,596
62.01,62.01,input,0,597
62.02,62.02,input,0,598
62.01,62.01,input,0,599
62.01,62.01,input,0,600
62.0,62.0,input,0,601
61.99,61.99,input,0,602
61.99,61.99,input,0,603
61.99,61.99,input,0,604
62.0,62.0,input,0,605
62.03,62.03,input,0,606
62.03,62.03,input,0,607
62.02,62.02,input,0,608
62.01,62.01,input,0,609
62.0,62.0,input,0,610
62.0,62.0,input,0,611
62.06,62.06,input,0,612
62.28,62.28,input,0,613
62.25,62.25,input,0,614
62.04,62.04,input,0,615
61.99,61.99,input,0,616
62.01,62.01,input,0,617
62.0,62.0,input,0,618
62.03,62.03,input,0,619
62.04,62.04,input,0,620
62.03,62.03,input,0,621
62.03,62.03,input,0,622
62.02,62.02,input,0,623
62.01,62.01,input,0,624
62.02,62.02,input,0,625
62.02,62.02,input,0,626
62.03,62.03,input,0,627
62.03,62.03,input,0,628
62.03,62.03,input,0,629
62.02,62.02,input,0,630
62.03,62.03,input,0,631
62.04,62.04,input,0,632
62.04,62.04,input,0,633
62.03,62.03,input,0,634
62.04,62.04,input,0,635
62.04,62.04,input,0,636
62.03,62.03,input,0,637
62.04,62.04,input,0,638
62.03,62.03,input,0,639
62.03,62.03,input,0,640
62.03,62.03,input,0,641
62.04,62.04,input,0,642
62.04,62.04,input,0,643
62.04,62.04,input,0,644
62.05,62.05,input,0,645
62.06,62.06,input,0,646
62.05,62.05,input,0,647
62.04,62.04,input,0,648
62.03,62.03,input,0,649
62.03,62.03,input,0,650
62.06,62.06,input,0,651
62.07,62.07,input,0,652
62.07,62.07,input,0,653
62.06,62.06,input,0,654
62.07,62.07,input,0,655
62.06,62.06,input,0,656
62.07,62.07,input,0,657
62.07,62.07,input,0,658
62.04,62.04,input,0,659
62.04,62.04,input,0,660
62.06,62.06,input,0,661
62.06,62.06,input,0,662
62.06,62.06,input,0,663
62.07,62.07,input,0,664
62.07,62.07,input,0,665
62.06,62.06,input,0,666
62.08,62.08,input,0,667
62.08,62.08,input,0,668
62.07,62.07,input,0,669
62.05,62.05,input,0,670
62.07,62.07,input,0,671
62.09,62.09,input,0,672
62.08,62.08,input,0,673
