target,prediction,flag,roll_id,row_index
76.18,76.18,input,0,1226
76.02,76.02,input,0,1227
75.91,75.91,input,0,1228
75.8,75.8,input,0,1229
75.66,75.66,input,0,1230
75.51,75.51,input,0,1231
75.36,75.36,input,0,1232
75.2,75.2,input,0,1233
75.04,75.04,input,0,1234
74.88,74.88,input,0,1235
74.71,74.71,input,0,1236
74.55,74.55,input,0,1237
74.38,74.38,input,0,1238
74.23,74.23,input,0,1239
74.08,74.08,input,0,1240
74.0,74.0,input,0,1241
74.51,74.51,input,0,1242
74.73,74.73,input,0,1243
74.82,74.82,input,0,1244
74.85,74.85,input,0,1245
75.18,75.18,input,0,1246
75.54,75.54,input,0,1247
75.71,75.71,input,0,1248
75.78,75.78,input,0,1249
75.79,75.6939697265625,prediction,1,1250
75.76,75.67074584960938,prediction,1,1251
75.72,75.62156677246094,prediction,1,1252
75.66,75.59521484375,prediction,1,1253
75.58,75.51160430908203,prediction,1,1254
75.5,75.4868392944336,prediction,1,1255
75.43,75.45819091796875,prediction,1,1256
75.37,75.39372253417969,prediction,1,1257
75.28,75.35975646972656,prediction,1,1258
75.18,75.31029510498047,prediction,1,1259
75.07,75.0477066040039,prediction,2,1260
75.0,75.00817108154297,prediction,2,1261
74.97,74.9310302734375,prediction,2,1262
74.89,74.91643524169922,prediction,2,1263
74.8,74.82151794433594,prediction,2,1264
74.74,74.7757568359375,prediction,2,1265
74.66,74.74100494384766,prediction,2,1266
74.57,74.65557861328125,prediction,2,1267
74.47,74.61222076416016,prediction,2,1268
74.69,74.55199432373047,prediction,2,1269
75.84,74.119873046875,prediction,3,1270
76.31,74.0745849609375,prediction,3,1271
76.51,73.9699935913086,prediction,3,1272
76.64,73.96044158935547,prediction,3,1273
77.31,73.86932373046875,prediction,3,1274
78.35,73.80265808105469,prediction,3,1275
78.98,73.76316833496094,prediction,3,1276
79.3,73.65780639648438,prediction,3,1277
79.49,73.59770965576172,prediction,3,1278
79.59,73.52871704101562,prediction,3,1279
79.64,72.96269989013672,prediction,4,1280
79.65,72.91443634033203,prediction,4,1281
79.63,72.79231262207031,prediction,4,1282
79.59,72.78740692138672,prediction,4,1283
79.55,72.70817565917969,prediction,4,1284
79.49,72.62416076660156,prediction,4,1285
79.43,72.58258819580078,prediction,4,1286
79.36,72.46261596679688,prediction,4,1287
79.29,72.38904571533203,prediction,4,1288
79.22,72.31328582763672,prediction,4,1289
79.14,71.64704132080078,prediction,5,1290
79.05,71.58668518066406,prediction,5,1291
79.02,71.45157623291016,prediction,5,1292
79.17,71.45994567871094,prediction,5,1293
79.16,71.3824691772461,prediction,5,1294
79.36,71.28076171875,prediction,5,1295
80.01,71.23776245117188,prediction,5,1296
80.28,71.10481262207031,prediction,5,1297
